P, Psycho
Paul, John
Paul, Norma
Paula, Amasa
Paula Paula, Sylvie
Paulklee, Gina
Paulson, Robert
Pavlichenko, Suou
Pavlichenko, Eleonora
Pavlichenko, Shion
Pavlichenko, Mikhail
Pavo, Mayura
Payakaroon, Napa
Pazolini, Nero
Pazom, Iria
Peaberry, Hildegard
Peacecraft, Relena
Peacecraft, Naina
Peacecraft, Milou
Peacecraft, Katrina
Peacecraft, Sabrina
Peacemaker, Julio
Peach, John
Peach, Jennifer
Peacock, Shiva
Peacock, Pavlin
Pearl, Patricia
Pearlbaton, Mimi
Pearlbaton, Hetaro
Pearlbaton, Tivey
Pearson, Katue
Pecanson, Edward
Pecchino, Alexandro
Peck, Legory
Peclo, Drug 
Pedoya, Alonzo
Peeply, Lulu
Peer, Claudia
Pegasus, Seiya
Pegasus, Tenma
Pegasus, Kouga
Pei, Woh
Pei, Lang
Pei, Ming
Pei, Xiu
Peipei, Lau
Peiper, Joachim
Pejymete, Yahkto
Pekoyama, Peko
Pelekai, Lilo 
Pelerin, Ethan
Pelham Codrington, Wills
Penber, Raye
Pendelton, Jervis
Pendleton, Caroline
Pendleton, Erina
Pendleton, Skyla
Pendleton, Arena
Pendleton, John
Pendleton, Adam
Pendleton, Kyril
Pendleton, Seharan
Pendleton, Oldest Brother
Pendragon, Le Fay
Pendragon, Arthur
Pendragon, Arthur
Pendragon, Arthur
Pendragon, Merlin
Penelope, Nezumi-chan
Penguin, Hard-Boiled
Penguin, Bakuhatsu
Penguin, Pete
Pennyworth, Alfred
Penrose, Henrietta
Pentaghast, Cassandra
Penteano, Œufcoque
Penwood, Shelby M.
Peongyon, Kim
Peoples, Elena
Peor, Barara
Peperoncino, Alice
Pepper, David
Pepper, Jiggy
Pepper, Nelli
Pepper, Nello
Peppino, Fiolina
Peppino, Giulietta
Peppino, Concetta
Peppino, Father
Perch, Christopher
Percy, Berinda
Percy, Alonzo
Perdix, Dix
Perepelkin, Ivan
Perepelkina, Elena
Peres, Natalia
Pericolo, Nunzio
Peries, Soma
Perkins
Perkins, Goose
Perkins, Myrtle
Peroni, Don
Perot, Cocomo
Perriand, Sara
Perry, Matthew
Perry, Matthew Calbraith
Perry, Matthew Calbraith
Perry Jr., Matthew Calbraith
Perseus, Algol
Perseus, Laius
Pershing, Amy
Persia, Konyako
Persia, Juliet
Persia, Turkish
Persia, Ragdoll
Pertini, Edoardo Teodoro
Pescarolo, Adolphe
Peschutz, Vanilla
Peshmel, Baziwood
Pestori, Anne
Peterson, Cromwell
Peterson, Alec
Petit, Hime
Petoriyacowa, Rie
Petrenko, Olga Katina
Petris, Mónica María
Petrov, Sergei
Petrov, Yuri
Petrov, Nikolai Yerkovich
Petrova, Anna
Petrovna Elenskaya, Isis
Petrus, Father
Peyson, Timothy
Peyson, Tom
Peyson, Durgin
Pfalzgraf von Silvaner Lüneburg, Camus
Phalanx, Kain
Pham, Thi-Lan
Pham, Thi Tram
Phamrsolone, Ophelia
Phantasos, Portrayer
Phantom, Spectra
Phantomhive, Ciel
Phantomhive, Vincent
Phantomhive, Rachel
Phantomhive, Cloudia
Pharoah, Mouar
Phauna, Marion
Phecda, Thor
Pheles, Mephisto
Pheles, Mephisto
Pheles, Giselle
Phelps, Patrick
Pheneritas Psyfacor, Iris
Phenex, Riser
Phenex, Ravel
Phenil, Kiddy
Phenyl, Ticy
Pheromone, Lip
Phibris, Iselphia
Philias, Caris
Philias, Clalaclan
Philis, Philia
Phillips, Teddy
Phillips, Wilson
Phipps, Charles
Phobos, Trowa
Phoenix, Edo
Phoenix, Ikki
Phoenix, Aquinas Li Reysis
Phoenix, Paul
Phonsekal, Laure
Photon 77
Phrygianos, Joshua
Phrygianos, Jita
Phthalo, Balto
Physalis Gundam, Sonsaku
Pia Armonia, Maria
Piao, Lu
Piaroza, Helga
Piasky, Lag
Piazzolla, Albedo
Piccalio, Mannio
Piccolo, Fio
Piccolo, Grandpa
Piccolo, Madam
Picero, Agares
Pichori, Powai
Pidgeon, Rowan
Pie, Pinkie
Pie, Ginger
Piedmont, Rouge
Piena, King
Piena Augustra, Nashetania Loei
Pierce, Annette
Pierce, Wolfgang
Pierce, Sean
Pierce, Scene
Pieroni, Homer
Pierre, Mr.
Pierre, Jean
Pierre, Jon
Pierro Dzier, Fox
Pietoras, Marcus
Pig, Peter
Pig, Peggy
Pigeon, Petula
Pika, Jane
Pika, George
Pikale, Carlo
Pikale, Jorge
Pike, Vincent
Pilipenko, Varvara
Ping, Lin
Pingqiu, Yuechu
Pinka, Alchemi Alchemivich
Pino, Corentin
Piper, Michelle
Piper, Lou
Pippiniden, Arbeo
Pirjo, Birgit
Piroshkiski, Shkii
Piruluk, Allos
Pisces, Aphrodite
Pisces, Albafica
Pisces, Amor
Pisces, Cardinale 
Pisces, Mother
Pisces, Son
Pistis, Sophia
Pitt, Albert
Pittsburg, Luna
Pixis, Dot
Pizarro, Avalo
Pizarro, Francisco
Place, Sun
Plain, Sill
Plame, Tory
Planchard, Amelie
Plantagenet, Edward V
Planter, Igor
Platane, Doctor
Platinumburg, Thomas
Plato, Meio
Plato, Linda
Plato, Lang
Plato, Tio
Platt, Thomas
Ple, Elpeo
Plevitskaya, Rosa
Plie, Amy
Plisetsky, Yuri
Plisetsky, Kolya
Plugman, DJ
Plushenko, Yuria
Plutis, Silva
Pluto, Hades
Po, Sally
Po, Kathy
Po, Lian
Po Bidau, Gustang
Po Chiina, Lithia
Po Chiina, Gen
Pocchini, Enrico
Pocchini, Adriana
Pocchini, Sylvia
Podolski, Karel
Poe, Musy
Poe, Edgar Allan
Poirot, Hercule
Poirot, Emmanuelle
Poizot, Gueldre
Pokoteng, Aria
Pokryshkin, Aleksandra Ivanovna
Pokryshkin, Grandmother
Pokryshkin, Mother
Polandwood, Achilles
Polaris, Hilda
Polignac, Josephine
Politkovskaya, Anastasia Andreevna
Polk, Miriam
Pollarola, Emanuela
Polnareff, Jean-Pierre
Polnareff
Polnareff, Sherry
Polo, Marco
Poltlout, Meili
Polyansky, Nora
Pome, Pomeko
Pomera, Nia
Pomponette, Joelle Davidovich
Pon, Fujio
Poniatowski, Józef
Poniatowski, Andrzej
Pontmercy, Marius
Pontmercy, Georges
Poom, Poom
Poplan, Olivier
Poporo, Pele
Popov, Vladimir Ilyich
Popovich, Georgi
Popper, Michael Karl
Porcius Cato, Marcus
Porla, Jose
Porlock, Fred
Porpora, Donato
Porsche, Franka
Porsche, Friederike
Port, Rachel
Port, Peter
Portaport, Cob
Porte, Reana
Porter, Gustav
Portgas D., Ace
Portgas D., Rouge
Portman, Jennifer
Portman, Ron
Portman, Namie
Portman, Chris
Portor, Feitan
Portsnell, Edgar
Posei, Donichi
Poseidal, Oldna
Poseidon, King
Pot, Pol
Potaria, Pol
Potato, Big
Potter, Largo
Potter, Muff
Potts, Virginia
Poulange, Olivier
Poundmax, Bob
Powderfield, Childman
Powered, Alexandria
Poww, Choe Neng
Poyota, Hyouga
Poyota, Jura
Poyota, Mirai
Poyota, Gendai
Praise, Jessica
Pranaice, Urza
Prashukart, Alecto
Pratemia, Parsine
Prelati, Francesca
Preminger, Duke
Preminger, Collette
Preminger, Herman
President, The
Presley, Elvis
Pressette, Luchina
Prestone Yggdmillennia, Darnic
Presty, Filio
Presty, Sleigh
Pretzel, Sakura
Price, Aaron
Price, Ellen
Pricket, Rosetti
Prideaux, Don Carlos
Prideaux, Caterina
Prim, Cornelia
Prime, Optimus
Prime, Rodimus
Prime, Georg
Prime, Sheryl
Prime, Chester
Primson, Mildred
Prince of Darkness, Satan
Princess, Nir
Princess, Airfield
Principia O Rabanesta, Rona
Priscilla, Momoko
Prisken, Ingram
Prochainezo, Firo
Prochnow, Martin
Professor Kitty
Proko, Brother
Prometas, Promessa
Prometh, Deus
Promethium II, La Andromeda
Pronema, Ricott
Prophecy, Robin
Proponov, Ivan
Prost
Proto, Arae
Proudfoot, Jane
Prouvaire, Jean
Prove, Shadow
Province, Barres 
Prower, Miles
Prowler, Reina
Proxy, Monad
Proxy, Senekis
Proxy, Kazkis
Prozen, Gunther
Prudo, Morena
Pryce, Jude
Psyche, Renbart
Psyeruth, George
Ptera, Dino
Pu, Zhao
Publin, Sharon
Pucci, Enrico
Pucci, Perla
Pudding, Nano-Nano
Puddle, Claire
Puguna, Remi
Pumpkin, Patty
Pumps, Pete
Punt, Rev
Punyama, Father
Punyama, Mother
Purchinov, Alexander
Purl, Gavner
Purplehorse, Tristina
Purpleton, Nina
Purpleton, Jina
Purpleton, Eric
Purpleton, Peter
Purpurine, Sally
Pushkin, Alexander
Pushkin, Alexander
Putin, Vladimir
Putin, Vladimir
Putin, Victor
Putin, Wu
Putin, Mina
Putin, Alexander
Putin, Yf
Putyatin, Yevfimy Vasilyevich
Puu, Jan
Puzi, Meifa
Puzi, Pao
Pye, Josie
Pye, Gertie
Pyeon, Wook
Pym, Hank
Pyo, Gin-Hoon
Pyordoba, Preia
Pyron, Lee

