Völundio, Cleo
Varbrun, Darius Baer
Vardemann, Fritz
Varei, Aria
Varel, Loren
Varga, Lazlo
Vargas, Ashton
Vargas, Castor
Vargas, Carla
Varley, Angelica
Varley, Alucia
Varley, David
Varna, Mill
Varney, Francis
Varo, Jack
Varoa, Gunther
Varro, Henry
Varrot, Eleanor
Varschine, Morris
Varschine, Edward
Vartla, Vanilla
Vartla, Coconna
Vartla, Stevia
Varus, Szaddo
Vasco, Regina Maria
Vasconcelos, Zoe
Vashtal, Saki
Vashti, Mileina
Vashti, Ian
Vashti, Linda
Vasilov, Elijah
Vasily, Tarjim
Vasquez, Arnaud
Vassiley, Phillipa
Vastia, Lyon
Vastia, Scarlett Ellis
Vasylchenko, Natalia
Vasylchenko, Mother
Vasylchenko, Father
Vat Tran, Van
Vatler, Dimitrie
Vaude, Langris
Vaux Bernardus, Clair
Völker, Vidaux
Völker, Mayuka
Vector, Sheria
Vectra, Opera
Vega, Ggio
Vega, James
Vega, Ivan Coral
Vega, Astaris
Vega, Magnamam
Veggie, Reggie
Veker, Charme
Velariore, Moe
Velariore, Lach
Velasco, Frida
Velding, Chris
Velka, Valentina
Velvet, Waver
Velvet, Wendy
Venegas, Lia
Venegas, Veronica
Venerdi, Giado
Venick, Belmondo Nash
Venick, Galgard Nash
Venkatesh, Amelia
Venkman, Peter
Venninuanvi, Trones Antonio
Venniuanvi, Anna
Vento, Kai Sakura
Vents, Bill
Venus, Fatora
Venus, Rune
Venus, Net
Venus, Aria
Venus, Ultrawoman
Verafoult, Turkes
Verbania, Bart
Vercingetorix, John Wayne
Verdandi, Winter
Verde, Emma
Vereuse, Noal
Vereuse, Father
Vergès, Selim
Vergamon, Liliana
Verhoeven, Drew
Veritti, Fabious
Verman, Kitts
Vermillion, Erika
Vermillion, Noel
Vermillion, Mavis
Vermillion, Stella
Vermillion, Mother
Vermillion, Leopold
Vermillion, Mimosa
Vermillion, Mereoleona
Vermillion, Fuegoleon
Vermillion, Kirsch
Vermillion, Loune
Verne, Olson
Verneuil, Lucille
Vernon, Virgil
Vernon
Verritti, Carina
Verritti, Fiore
Vers Allusia, Asseylum
Vers Envers, Lemrina
Vers Rayvers, Rayregalia
Versace, Donatello
Vertone, Valeria
Vespaland, Mira Julietta
Vespaland, Sakura Aldia
Vespaland, Jihl Khaul
Vespaland, Gerard Muska
Vessalius, Oz
Vessalius, Jack
Vessalius, Oscar
Vessalius, Ada
Vessalius, Zai
Vessalius, Sara
Veyron, Tuareninya
VI, Henry
vi Britannia, Marianne
Vi Britannia, Rolo
Vialdo, Didier
Vialli, Tootoo
Vianno, Elle
Viccolobute, Shion Adel
Victoire, Jean
Victor, Vega
Victoria, Seras
Victoria, Cindry
Victoria, Nelson
Victoria, Alexandrina
Vicuss, Conrad
Vidnova, Ruviné
Vidocq, François
Vieda, Sarah
Vieil, Ezra
Vieira, Pierre
Viella, Sebastiano
Viewstream, Alicia
VII, Charles
Viji, Tejas
Vikas, Clement
Vikro, Renee
Viktorov, Sergei
Vilar, Bernardo
Vilente, Melody
Vilgyna, Rioroute
Villefort, Gerard
Villefort, Valentine
Villefort, Héloïse
Villeneuve, Chieri
Villiers, Pierce
Vilosa, Sita
Vilsmaier, Joseph
Viltaria, Eleonora
Vincent, Irene
Vincent, Liena Grace
Vincent, Freshe
Vincent, Mr. 
Vindaw, Lamia
Vineyard, Welch
VinoCacao, Noir
Vinsmoke, Reiju
Vinsmoke, Yonji
Vinsmoke, Ichiji
Vinsmoke, Niji
Vinsmoke, Judge
Vinsmoke, Sora
Viola, Shizuru
Viola, Rio
Violento, Grave
Violet, Keith
Violet, Tesla
Violet, Nine
Violet, Gregory
Violette, Miel
Violette, Sara
Viper, Ted
Viper, Crimson
Viper, Jamil
Viren, Maria
Virena, Sonia
Virena, Stephan
Virgil, Luis
Virgo, Shaka
Virgo, Asmita
Virgo, Shijima
Virgo, Fudou
Viridian, Prince Virid
Viridis, Lefiya
Virny Cocteau, Erts
Virsaladze, Nelly
Virtues, Eligor
Visconti, Alfred
Visconti, Giuliano
Visconti, Etia
Visconti, Julius
Visempler, Katrina Antonina
Vishneva, Tatiana
Vision, Eagle
Visponti, Alessand
Vispose, Rin
Vist, Syam
Vist, Cardeas
Vist, Alberto
Vist Carbine, Martha
Vita, Tena
Vita Lin Toe, Tiona
Vitesse, Rob
Vitte, Irakli
Vittori, Julietta
Vittori, Mario
Vittori, Giovanni
Vittori, Sophia
Vivali, Clive
Vivian, Magno
Vivre, Riemu
Vix, Noah
Vlaanderen, Marie
Vlad, Dan Gate
Vlad, Seras Gate
Vlad, Chrisse Gate
Vlad Transylvania, Mai
Vladi, Gasper
Vladimir, Volkov
Vlady, Marlene
Vocaldoll, Falulu
Voda Munagoul, Yardio
Vogelweide, Helga von
Voightlander, Emilu
Volaju, Vincent
Volan, Lync
Volans, Argo
Volban de Cabelle, Michel
Volcan, Rock
Volcanello, Norman
Volchkova, Amanza
Voldigoad, Anos
Volga
Volkan, Eugene Alexandre de
Volkov, Sergey
Volkov, Shamil
Volkova, Tamara
voll Erslied, Wilbell
Vollachia, Vincent
Vollerei, Seele
Vollfied, Sven
Volpe, Massimo
Volta, Alessandro
Volte, Riot
Voltia, Luck
Voltisloa, Kira Lebedev
Volve, Lukeluther
Volvo, Saigo
Von, Evra
von  Wettin, Sieglinde
Von Aegir, Ferdinand
von Ahrensmeyer, Julius Leonherd
von Alaphus, Job
von Anhalt-Zerbst, Kirche Augusta Frederica
von Armstrong, Klimt Christoph
von Arnim, Elvin
von Ascham, Adele
von Asgahan, Wilma Etol
von Austien, Mavis
von Austria, Mireille
von Austria, Iris
Von Baden Bismarck, Theobald
Von Baden Bismarck, Maximilian
Von Baden Bismarck, Elisabeth
Von Baden Bismarck, Ludovika
Von Baden Bismarck, Letran
von Bülow, Volker Axel
von Beatrix, Filia
von Beenemünde, Sussanna
von Berlichingen, Göetz
von Bernstein, Sylia
von Bertz, Johann Gottholp
von Bielefeld, Wolfram
von Bielefeld, Waltorana
von Braunschweig, Otto
von Braunschweig, Elizabeth
von Breisgau, Bradow
von Breitner, Jurgen
von Castrop, Maximilian
von Christ, Günter
von Claude, Sicily
von Claude, Cecil
von Claude, Irene
Von Crimsonriver, Ley
Von de Oniyate, Andy
von dem Eberbach, Major Klaus Heinz
von der Decken, Karl
von Dietrich, Elise
von Earlshide, August
von Earlshide, Diseum
von Earlshide, May
von Edmund, Marianne
von Einzbern, Illyasviel
von Einzbern, Irisviel
von Einzbern, Jubstacheit
von Einzbern, Chloe
von Einzbern, Justeaze Lizrich
von Eisenach, Ernst
von Erich, God
von Eylstadt, Ortfiné Fredericka
von Fahrenheit, Adalbert
von Falstrong, Ernst
von Ferdinand, Jung
von Feuerbach, Marika
von Feuerbach, Cordelia
von Findolf, Eduardo
von Flügel, Drossel
Von Folger, Franken
von Fregel, Thor
von Friedhof, Märchen
von Fruhling, Riber
von Gielen, Cecil
von Gielen, Karin
von Giuseppe, Helmut
von Goldenbaum, Erwin Josef II
von Goldenbaum, Rudolf
von Goldenbaum IV, Friedrich
von Grandeur, Shandor
von Grandoire, Chandell
von Granntzreich, Adele
von Grannzreich, Kai
von Grannzreich, Bruno
von Grannzreich, Leonhard
von Grannzreich, Licht
von Grannzreich, Victor
von Grannzreich, Einz
von Grannzreich, Maria
von Grantz, Adelbert
von Grünewald, Annerose
von Grimmelshausen, Richard
von Guldenhorf, Beatrice Yvonne
von Guropius, Miliam Hildegard
von Gustav Karigari, Fritz
von Haase, Moritz
von Haizerad, Walter
von Hans, Mortiz-Paul
von Hasselback, Wentzel
von Helmechion, Oscar
Von Hertzon, Klaus
von Herxheimer, Margareta
Von Hresvelg, Edelgard
von Jürgen, Wilhelm
von Karbelnikoff, Anissina
von Karbelnikoff, Densham
von Kämpfer, Isaak Fernand
von Keffenhiller, Christoph
von Kingdragon, Kirkland
von Kingdragon, Stelvio
von Kircheisen, Beatrice Waltrud
von Klauter, Klaus
von Kleingelt, Karl
von Kleingelt, Vier
von Kleingelt, Aubend
von Klopstock, Wilhelm
von Knapfstein, Bruno
von Kohlrausch, Elfriede
von Kraftman, Wolfgang
von Kreutzer, Katerose
von Kunmel, Heinrich
von Lücke, Theodor
von Lansberg, Alfred
von Lichtenlade, Klaus
von Liebknecht, Rudolf
Von Lightning, Freidkam
von Littenheim, Wilhelm
von Littenheim, Sabine
von Littenheim, Julius
von Lohengramm, Reinhard
von Lohengramm, Alexander Siegfried
von Lohengrin, Dietrich
von Lomzard, Vino
von Ludovich, Adolf
von Ludowing, März
von Ludowing, Therese
von Luneberg, Herman
von Luneberg, Elisabeth
von Müsel, Sebastian
von Manstein, Erhard
von Mariendorf, Hildegard
von Mariendorf, Franz
Von Martritz, Mercedes
Von Meinster, Klaus
von Merkatz, Willibald Joachim
von Messina, Maria
von Meyer, Herbert
von Mittgard, Siegfried
von Modell, Konrad
von Muckenberger, Gregor
von Neue Stauffen, Joachim
von Neuestein, Liavelt
Von Neuremberg, Nora
Von Neuschwanstein, Elias
Von Neuschwanstein, Rachel
Von Neuschwanstein, Leon
Von Neuschwanstein, Bensler
Von Neuschwanstein, Fredry
Von Neuschwanstein, Johannes
Von Neuschwanstein, Lucretia
Von Neuschwanstein, Molo
Von Neuschwanstein, Valentino
Von Neuschwanstein, Alice
Von Neuschwanstein, Shuli
Von Neuschwanstein, Jeremy
Von Nuremberg, Albrecht
Von Nuremberg, Heidi
von Oberstein, Paul
Von Ordelia, Lysithea
von Reckendorf, Emil
von Reifeisen, Karl
Von Reiher, Rosemary
von Reinhard, Herbert
von Reinherz, Klaus
von Remscheid, Jochen
von Rerugen, Erich
von Reuenthal, Oskar
von Richenstein, Drei
von Richenstein, Tian
Von Riegan, Claude
von Riessfeld, Julis-Alexia
von Riessfeld, Jolbert Murray Johannes Heinrich
von Ritzburg, Kurt
von Rolle, Katya
von Rosewald, Kanae
von Rubelt, Hans
von Rudersdorf, Kurt
von Schönkopf, Walter
von Schaft, Anton Hilmer
von Schicksal, Johannes
von Schiller
von Schneider, Bernhard
von Schroider, Siegfried
von Schugel, Adelheid
von Seeckt, Hans Dietrich
von Seelle, Emile
von Silberberch, Bruno
von Spitzberg, Cecilie
von Spitzberg, Stoffel
von Stauffenberg, Holst
von Steger, Geahard
von Stockhausen, Thoma
von Streit, Arthur
von Stresemann, Franz
von Stroheim, Rudol
von Stroheim, Fritz
von Thurneysen, Isaak Fernand
von Trapp, Johanna
von Trapp, Maria
von Trapp, Georg
von Trapp, Hedwig
von Trapp, Rupert
von Trapp, Werner 
von Trapp, Martina
von Trapp, Agathe
von Ugar, Maximilian Johann
Von Varley, Bernadetta
von Veckenschtein, Bermuda
Von Vestra, Hubert
von Vetsera, Marie Alexandrine
von Vist, Harald
von Voltaire, Gwendal
von Wackenheim, Gladys
von Wahnschaffe, Otto Frank
von Waldstein, Gerhardt
von Waldstein, Relic
von Waldstein, Ferret
von Walhorf, Kurst
von Westernach, Siegfried
von Westpfahle, Magdalena
von Wettin, Elisabeth
von Wincott, Delchias
von Wincott, Suzanna Julia
von Wittelsbach, Heinrich
von Wittenburg, Eleonore
von Wolf, Cronen
von Wolfstadt, Klaus
von Zettour, Hans
Vondergeist, Spectra
Vonely, Fran
Voorhees, Klaus
Voorman, Berta
Vorder, Jordy
Vorder, Feria
Vorder, King
Vorfeed, Canal
Vorgeil, Nico
Vorgeil, Nico
Vorn, Tigrevurmud
Vorn, Urz
Vovnich, Maria
Voyager, Melvin
Voyd, Macil
Vrataski, Rita
Vremya, Avsette
Vrubam, Vanis
Vrubel, Kirill
Vrumugun, Erisiel
Vulfe, Reiss
Vulture, Venus
Vyse, Charles

