L, Anastasia
Lao, Yuen-Tai
Lap, Jean Robert
Lap Lamiz, Moruk
Lapana, Ciela
Lapislazuli, Hecatia
Lapoy, Podungo
Lapucea, Nya
Laramie, Fuko
Larchica, Katla 
Larmo, Hermana
LaRoche, George
Lars, Lapis
Larue, Lu
LaRuze, Cole
Lasa, Koka
Lasaar, George
LaSalle, Edgar
Lasaro, Nab
Lasbard, Clair
Lash, Eilietta
Laslow, Nastasia A.
Lasmoon, Selenia
Lasmoon, Arte
Lassic, David
Lasso, Marco
Lasso, Luchist
Lastania, Tia
Laswell, Jimmy
Latoine, Frank
Latour, Saga
Latreia, Therese
Latreia, Claire
Latreia, Carlyle
Latreia, Melody
Latreia, Edgar
Latreia, Saura
Latreia, Ralkan
Latro, Mord
Latrova, Fikatsia
Latt, Caron
Lau, Fei Zui
Lau, Richard
Lau, Leon
Lau, Chloe
Lauda, Niki
Lauderdale, Emmeline
Laudisch
Laujin, Meeya
Launo, Talvikki
Laurant, Hiver
Laurant, Léon
Lauren, Vestemona
Laurence, Theodore
Laurence, Theodore 
Laurenfrost, Rinslet
Laurenfrost, Mireille
Laurent, René
Laurent, Chloe
Lautreamont, Veronica
Lautreamont, Silvia
Lautreamont, Mirabel
Lavans, Radium
Lavariel, Miguel
Lavie, Arvind
Lavigister, Creo
Lavigneri, Fiore Loderia
Law, Vincent
Law, Slegger
Law, Justin
Law, Risley
Law, Daniel 
Lawfan, Jatice
Lawliet, L
Lawrelia, Ragna
Lawren, Winia
Lawrence, Kraft
Lawrence, Charles
Lawrence, Professor
Lawrence, Eiri
Lawrence, Guy
Lawrence, Thomas Edward
Lawrence, David
Lawson, Curtis
Lawton, Floyd
Layard, Philine
Layberg, Julya
Layer, Clarisse
Layner, Paety
Laysh, Ged
Laytis, Hibiki
Laytner, Dee
Layton, Hershel
Layton, Katrielle
Layzner, Kelly
Laz Pleven, Emile
Lazar, Gunz
Lazarus, Luche
Lazuli, Lapis
Lazuli, Lapis
Lazuli, Lapis
Lazuli, Lapis
Lazzari, Martin
Lü, Bu
Le, You
Le Banner, Nicolas
Le Bel Shirogane, Sakuya
Le Blanc de La Vallière, Louise Françoise
Le Buffett, Haito
le Carré, Ange
Le Creuset, Rau
Le Fahanir, Carmilla Sheyla
Le Fanu, Elisabeth
le Fay, Majolica
Le Fay, Morgan
le Fay, Morgan
Le Fey, Morgan
le Rond d'Alembert, Jean
Leaf, Elmairy
Leaf, Nano
Leaflet, Noct
Leagan, Eliza
Leagan, Neil
Leakey, Richard
Lean, Elsha
Lean, Burk
Leazas, Lia Parapara
LeBlanc, Jean Luc
Leblanc, Sherry
LeBlanc, Eric
LeBlanche, Neige
Lebowski, Hubb
Lecoque, Helmut J.
LeCoulte, Dominic
LeCoulte, Satella
Ledesma, Ulrica
Lee, Lenalee
Lee, Komui
Lee, Michael
Lee, Rock
Lee, Magnus
Lee, Ramika
Lee, Jun
Lee, Chaolan
Lee, Shi-Hyun
Lee, Shi-Woo
Lee, Hee-Young
Lee, Gyu Hwa
Lee, Michael
Lee, Eddie
Lee, Ranka
Lee, Ozma
Lee, Balladbird
Lee, Siho
Lee, Dai
Lee, Bum-Moo
Lee, Shin
Lee, Yul
Lee, Yu-Da
Lee, Zhejiang
Lee, Chao
Lee, Gun-Woong
Lee, Min Hyung
Lee, Kwan
Lee, Peggy
Lee, Yuna
Lee, Beum
Lee, Vanessa
Lee, Han Sae
Lee, Lin
Lee, Tian Lang
Lee, Kai
Lee, Se Lop
Lee, Chan
Lee, Joonha
Lee, Shiho
Lee, Yut-Lung
Lee, Da-Hwa
Lee, Da-Eh
Lee, Gun Woo
Lee, Si-Baek
Lee, Si-Joon
Lee, Stan
Lee, Jae Bum
Lee, Eun-ho
Lee, Heesun
Lee, Ditt
Lee, Yun-Ha
Lee, Ian
Lee, Se Lim
Lee, Wong
Lee, Kuu Ragua
Lee, Feng
Lee, Woo-Hee
Lee, Chun-Bok
Lee, Rain
Lee, Irma Shaolan
Lee, San-ki
Lee, Nan Hui
Lee, Eunhwa
Lee, Alan
Lee, Mo Na
Lee, Jinki
Lee, Yung-hee
Lee, God
Lee, Moon Young
Lee, Ho Goo
Lee, Soona
Lee, Go Seul
Lee, Si Mun
Lee, Min Soo
Lee, Shenlon
Lee, Jacky
Lee, Fang-Fang
Lee, Chung-yun
Lee, Chuu
Lee, Guenael
Lee, Diane
Lee, Luin
Lee, Si Beak
Lee, Chang
Lee, Pamela
Lee, Geun-Tae
Lee, Vivian
Lee, Kang-To
Lee, Ina
Lee, Na Ra
Lee, Bruce
Lee, Edea
Lee, Nancy
Lee, Gang-Jae 
Lee, Araki
Lee, Sock
Lee, Metal
Lee, Esther
Lee, Yurim
Lee, Young Won
Lee, Seha
Lee, Seulbi
Lee, Chansoo
Lee, Seung-gil
Lee, Shin
Lee, May Fan
Lee, Yura
Lee, Chun Ho
Lee, Mia
Lee, Jun Soo
Lee, Gun
Lee, Hanmi
Lee, Jun-A
Lee, Minhoon
Lee, Goo-Young
Lee, Meijiu
Lee, Dorian
Lee, Soo-Jin
Lee, Eun Tae
Lee, Maha
Lee, Jin Sung
Lee, Wang Lung
Lee, Hua Lung
Lee, Ju-Hee
Lee, Connie
Lee, Hyuk
Lee, Conor
Lee, Albert
Lee, Eun
Lee, Suho
Lee, Seo-ha
Lee, Haesoo
Lee, Joon
Lee, Hyunsung
Lee, Gilyoung
Lee, Min Soo
Lee, Ru-da
Lee, Cheul-Bin
Lee, Han-Soo
Lee, Jin
Lee, Ron
Lee, Jin-Ah
Lee, Su-Yeon
Lee, Jihye
Lee Moon, Gwang
Lee Noriega, Sumeragi
Leech, Floyd
Leech, Jade
Leego, Exiade
Leese, Starlia
Leesoo, Ryu
Leesoo, Dong Hee
Leez, Kubera
Leez, Rao
Legacy, Palinchron
Legh, Lottie
Legolant, Henry
Legrand, Mandara
Legris, André
Lehn, Kaz
Lehn, Haas
Lehn, Nard
Lehn, Hana
Lehnsherr, Erik
Lehrman, Yvette L.
Lei, Wulong
Lei, Siva
Lei, Qiang
Lei, Chen
Lei, Lei
Lei Kao, Zhang
Leiard, Milly
Leiberk, Voyse Granc
Leicesterberry, Ethel Constantia
Leiden, Mink
Leiger, Alex
Leighton, Rachel
Leila, Seran
Leilon, Edna
Leingod, Fayt
Leivonen, Elma
Leku, Lecty
Leland, Eliott
Lemaire, Chloe
Lemaire, Serge Jean
Lemare, Georgette
Lemit, Iasoul
Lemming, Nora
Lemon, Michel
Lemuri Phi, Lymle
Lena, Kana
Lenard, Kyle
Lenbach, Frida
Lenfield, Monica
Lenford, Marty
Lenheim, Olivier
Lenin, Vladimir
Lenix, Yuuto
Lennartz, Helma
Lennenkampf, Helmut
Lennon, John
Lennox, Mary
Lenore, Philip
Lents, Lenny
Lenz, Krista
Leo, Aiolia
Leo, Regulus
Leo, Mycene
Leo, Kaiser
Leo, Captain
Leobort, Henry
Leodoor, Sirius
Leon, Zena
Leon, Angela
Leon, Claude
Leon, Cid
Leon, Faz
Leon, Isabella R.
Leon, Delia
Leon, Joy
Leonard, Steve
Leone, Favaro
Leone, Barossa
Leone, Bunyan
Leone, Tonino
Leonelli, Clair
Leonhard, Dry
Leonhard, Daniel
Leonhardt, Rempart
Leonhardt Klausner, William
Leonhart, Squall
Leonhart, Annie
Leonhart, Father
Leonhart, Maetel
Leonov, Yuri
Leopardon, Papipurio
Leopold, Duke
Leorange, Fafner
Leoxses, Darius
Leoxses, Mystras
Lepanto, Tank
Leps, Lev
Lepsius, Arma
Lepus , Arne
Lernier, Alain
Leroux, Zommari
Leroux de Berthence, Malheureux
Leroy, Jean-Jacques
Leroy, Nathalie
Leroy, Alain
Leroy, Ventury
Leroy, Ligier
Lertoff, Dick
Lescott, Noah
Lesglant, Gideon
Leskinen, Alexis
Leskins, Fractel
Leskova, Irina
Lesseps, Hugo
Lessio, Jacob
Lester, Klarth F.
Lestrade, Greg 
Lestrade, Gregory
Leszal, Erwin
Leszczynska, Marie
Let Dahaka, Java
Leta Barielle, Loic
Leticia, Mavis
Letta, Corze
Lev, Zoe
Levamme, Carlo
Levanteinn, Uolo
Levantret, Ritzhardt
Levi, Michael
Levi, Gabriel
Levi-Strauss, Remmy
Leviathan, Serafall
Leviathan, Katerea
Levin, Jack
Levin, Roy
Levin, Rutina
Levina Sorel, Gaius
Levine, Alexandrite
Levinsonn, David 
Levitt, Sheila
Levitt, Vera
Lew, Irene
Lewandowski, Dimitri
Lewis, Clifford D.
Lewis, Sean
Lewis, Papa Sydney
Lewis, Robert
Lewis, Chuck
Lexshue, Plakia
Ley, Shauteih
Leyte, Petra
Leythal Pastalia, Cloche
Lezmond, Lala
Lhadatt, Shirotsugh
Lhant, Asbel
Li, Shaoran
Li, Kouyuu
Li, Jianliang
Li, Nataku
Li, Syaoran
Li, Meiling
Li, Meifon
Li, Xingke
Li, Xiang Ying
Li, Guhoo
Li, Meng Meng
Li, Raichi
Li, Ling-ling
Li, Tenmon
Li, Yunlong
Li, Jian Qiang
Li, To
Li, Cho
Li, Qian De
Li, Xin
Li, Si
Li, Xiaochun
Li, Mu
Li, Zang
Li, Chang Ge
Li, ShiMing
Li, Shunei
Li, Pai Long
Li, Yelan
Li, Zhenyu
Li, Si
Li, Ji-Woo
Li, Zheng
Li
Li, Qiaoen
Li, Eun Sin
Li, Sei
Li, Jason
Li, Xingzi
Li, Chonpiru
Li, Chung Feng
Li, Shenyun
Li, Shenhua
Li, Foien
Li, Xing Yun
Li, Chang
Li, Bai
Li, Hazara
Li, Nie
Li, Xueyang
Li, Xuemei
Li, Xue
Li, Xuan
Li, Bo Er
Li, Kintaku
Li, Mokutaku
Li, Chaoyang
Li, Muzi
Li, Fernando
Li, Hongbin
Li, Faran
Li, Yaoyao
Li, Jinglong
Li, Meng
Li, Mingkong
Li, Qiang
Li, Mingyue
Li, Guiying
Li, Xuelan
li Britannia, Cornelia
li Britannia, Euphemia
li Britannia, Claire
Li Ying, Princess
Liamon, Riez
Lian, Xiang
Lian, Bai
Lian-Hua, Zhu
Liang, Ming-Xia
Liang, Jian-Feng
Liang, Lu
Lianshan, Lia
Lianshan, Fan
Lianzhou, Yao
Liaoyuan, Huo
Liati, Elizabeth
Liberica, Abro
Liberty, Lucy
Libra, Douko
Libra, Genbu
Librodec, Melfond
Licen, Kashburn
Licen, Alicia
Licht, Viktor
Lid, Kyle
Lida, Pampa
Liddell, Alice
Liddell, Shion
Liddell, Lorina
Liddell, Edith
Lidenbrock, Axel
Lidfard, Kaisar
Lie, Jing
Liebely, Dita
Liebert, Johan
Liebert, Anna
Liebert, Aretha
Liebert, Serge
Liebert, Marten
Liechten, Marhait
Liechtenauer, Lena
Liedbulk, Orpheus
Lielbelle, Testa
Liese, Alia
Liese, Lotte
Lieutolu, Lieral
Lifas, Balney
Light, Thomas
Light, Lewin
Light, Zet
Light, Lorin
Light, Lin
Light, Leil
Light, Rina
Lightfellow, Chris
Lightless, Pause
Lightney, Alan
Lightning, Wina
Lightning, Tear
Lightsphere, January
Lightwing, Falcon
Lignier
Lihita, Ashley Walfgang
Liilie, Lucino
Lilac, Isabel
Lilburn, Estella
Lilia, Lala
Lilian, Sonica
Liliant, Lutil
Lilica, Karen
Lilienthal, Otto
Lilith, Lilia
Lilith, Hadaly
Lill Wight, Kukuru
Lilliansoar, Rei
Lillie, Vira
Lillvqvist, Chastille
Lilly Lindwurm, Meriela
Lilmit, Tillfur
Lilot, Radich
Lily, Lys
Lily, Glorious
Lily, Tiger
Lim, Jina
Lim, Suyoung
Lim, Jooeun
Lim, Yuna
Lim, Seonji
Lim, Myeong-Ja
Lim, Hyunshik
Lim, Jugyeong
Lima, Pepê
Lima, Lulu
Limietta, Amy
Limoges, Angelique
Lin, Majic
Lin, Yunque
Lin, Hay
Lin, Lei
Lin, Hou Xian
Lin, Zhang Mou
Lin, Lianjie
Lin, Yuan
Lin, Vivi
Lin, Xue Ya
Lin, Xianming
Lin, Jingyan
Lin, Fei
Lin, Jia-Ling
Lin, Rui-Ling
Lin, Dong
Linberyl, Frencia
Linchen, Rana
Lincle, Millie
Linda, Airi 
Linda, Chinatsu 
Lindberg, Nina
Lindberg, Katie
Lindberg, Christopher
Lindberg, Grace
Lindberg, Jane
Lindbloom, Miyo
Lindegard, Olivia
Lindelutz, Helmut
Lindelutz, Sophie
Lindemann, Ernest Cirrus
Lindenberg, Hasumi
Lindenbrock, Otto
Lindocruz, Tesla
Lindon, Bel
Lindotte, Celica
Lindotte, Cilica
Lindovebberg Wakeman, Windy
Lindros, Yui
Lindsay, Gear
Lindsay, Kirk
Lindser, Conrad
Line Dragoon, Julia
Linesword, Memphis
Linette, Elisi
Ling, Cui
Ling, Xiaoyu
Ling, Xiu
Ling, Emperor
Ling, Huang
Ling, Tong
Ling, Ai
Ling, Mei
Ling, Yu Xuan
Ling, Dao
Ling, Lan
Ling, Jin Lin
Ling, Wen
Ling-er, Su
Lingfei, Du
Lingshen, Chao
Linho, Lee
Linjun, Lee
Link, Meier
Link, Jet
Link, Aria
Link, Howard
Linker, D-Roy
Links, Banagher
Links, James
Links, Noel
Links, Leon
Links, Gary
Linlin, Hanfeng
Linn, Jinto
Linnamaa, Aila Paivikki
Linnen, Serena
Lint, Alfred
Linus, Vera
Linus, Yuri
Linus, Arthur
Linz, Kasper
Lion, Ryuu
Lion, Leo
Lion, Justin
Liones, Edrad
Liones, Elizabeth
Liones, Veronica
Liones, Margaret
Liones, Bartra
Liones, Denzel 
Liones, Nadja
Lionet, Ban
Lionet, Souma
Lip, Doughty
Lippett, Catherine
Lippi, Leonardo
Lipský, Jaromír
Liqueur, Katsumi
Liqueur, Fuyuka
Liqueur, Gigelf
Lirala, Ruli
Lisa, Babu
Lisbon, Marone
Lisenberg
Lisette, Jean
Lishery, Zill
Lisker, Oswald
Lisley, Morgan
Liszt, Juli
Liszt, Franz
Litbeit, Glenn
Lithaty, Sarah
Lithos, Marcus
Litra, Mell Coor
Little, Danny
Littner, Yoko
Littner, Leeron
Littner, Kiyoh
Littner, Tetsukan
Littner, Dayakka
Littner, Anne
Littner, Jillian
Litvyak, Sanya V.
Liu, Feilong
Liu, Mei Fang
Liu, Xin Hong
Liu, Bei
Liu, Fei Yan
Liu, Bei
Liu, Tai Fei
Liu, Zongwu
Liu, Jien
Liu, Wei
Liu, Xiao
Liu, Ing
Liu, Cheng-Long
Liu, Bei
Liu, Ivy
Liu, Yiwu
Liu, Yuhua
Liu, Yuyan
Liu, Erlong
Liu, Yunde
Liu, Shenmei
Liu, Xiu Mei
Liu, Yanyan
Liu, Fugui
Liu, Yuanyuan
Liu, Bai Jiu
Liu, Xue Lan
Liu, Hao
Liu, Yushan
Liu, Fuheng
Liu, Feihe
Liu, Tianhua
Liu, Mei Fan
Liu, Qingge
Liu, Mingyan
Liu, Ryuushou
Liu, Xiao
Liu, Lili
Liu, Honghua
Liu Mei, Wang
Liverpool, Charlotte
Liverpool, Sherlock
Livingston, Paya
Livingston, Harvey
Livingston, TJ
Livingston, Mana
Livingstone, Lisa
Livington, Kanata
Livinskaya, Polina
Livius, Marcus
Liwe Raqi, Jesper
Liwe Raqi, Berdrit
Liz, Slay
Lizaldia, Lurie
Lizamarie de Rochefort, Astelia
Lizard, Misty
Lizu, Liza
Llargo, Yammy
Llewellyn, Allen
Lloyd, Largo
Lloyd, Ellis
Lloyd, Loyd
Lloyd, Royd
Lloyd, Chris
Lloyd, Juliana
Lloyds, Alexander
Lo, Karen
Lo, Christopher
Lo Po Bia, Ren
Lo Po Bia, Yasratcha
Lo Po Bia, Elaine
Loane, James
Lobanov, Nikolay
Lobo, Max
Lobos, Lazar
Lobster, R
Lobster, Michelle
Lock, Jun
Locke, J.
Lockhart, Tifa
Lockhart, Tink
Lockharte, Cathy
Lockser, Juvia
Locksmith, Werner
Lockwarde, Aria
Loen, Bard
Loer, Loerelei
Loewenherz, Ludwig
Loga, Bete
Logan, Greco
Logtie, Melt
Lohmeyer
Lohmeyer, Alicia
Loinemoney, Ronkeny
Lola, Misty
Lola, Chapati
Lolaha Chandra II, Dalida
Lolas, Harzak
Lolo, Chloe
Lombardi, Falco
Lomka, Nephrites
Lonawer, Yutta Do
Londe, Reccoa
London, Alisa
Lone, Tista
Lone, Dennis
Lone, Brother
Long, Hong
Long, Huang
Long, Chen
Long, Shang
Long, Meixing
Long, Fu
Long, Bao
Long, Tony
Long, Bai
Long, Chuan
Long, You
Long, Nomoa
Long, Wang
Long, Sou
Long, Ping
Long, Steve
Long, Huang
Long, Long
Long, Cheng
Longchamp, Naito
Longfei, Wu
Longhaired, Somali
Longinus, Dowafu
Longueville
Loo, Coco
Looks, Alyu
Looks, Monika
Loos, Katejina
Loos, Tengracee
Loosteen, Rycune
Lopez, Diego
Lopez, Carlos
Lopez, Antonio
Lopez, Maria
Lopez, Kitt
Lopez, Sogliola
Lorain, Obright
Lord, Dearche
Lord, Kairak
Lord, Charlotte B.
Lore, Rufus
Lorelei, Mystia
Lorelei, Meroune
Lorelei, Laira
Lorentz, Keel
Lorenz, Innes
Lorenz, Daryl
Lorenz, Diago
Lorenzetti, Lidvia
Lorezzo, Givanya
Lorme, Nathalie
Lortelia, Michelajul
Lorz, Frederick
Loss, Calian
Loss, Felli
Lot, Chrisbart
Lotaryńska, Gabriela
Lothar, Tina
Lothrick, Salt
Lothrick, Charles
Lotte, Rome
Lotte, Mario
Lotto, Miranda
Lotus, Mir
Lotus, Agora
Lou, Bianca Alexandra
Lou, Wu
Lou, Zhenhua
Lou, Yao
Lou Nebulis IX, Aliceliese 
Lou Nebulis IX, Sisbell
Lou Nebulis VIII, Millavair
Loud, Stephen
Louie, Lulune
Louis, Bernard
Louis, Virgilio
Louis, Phillip
Louis Drake, Robert
Louise, Alice
Louise, Eve
Louisenbairn, Baraggan
Louka, Roux
Lourdes, Zeg
Lourie, Ludmila
Loussier, Stella
Louvre, Marian
Louvre, Charles
Love, Espada
Love, Chloé
Lovecraft, Howard Phillips
Loveless, Lamia
Lovell, Coda
Lovelock, Ray
Lovelock, Lisa
Lovelock, George
Lovepain, Charlotte
Low, Vy
Low, Axl
Low, Faulstis
Low, Andy
Lowau, Giwaza
Lowe, Emilio
Lowe, Odin
Lowe, Joy
Lowe, Leon
Lowell, Patty
Lowell, Yuri
Lowell, Ellis
Lowell, Vincent
Lowell, Neil
Lowengren, Scrib
Lowetti, Claudia
Lowland, Greg
Lowland, Ian
Lowran, Griffith
Lowran, Leti
Loyard, Seira J.
Ltskin, Roux
Lu, Ein
Lu, Lamba
Lu, Meng
Lu, Yan
Lu, Cang
Lu, Ariella
Lu, Xun
Lu, Zhixin
Lu, Shaolong
Lu, Lin Xuan
Lu, Lian
Lu, Shui Yin
Lu, Jin Nian
Lu, You Qi
Lu, Yunhua
Lu, Wei
Lu, Linglong
Lu, Tianyou
Lu, Luo
Lu, Xun
Lu, Tian
Lu, Die
Lu, Guang
lu Linvega, Davine
lu Luka, Kaira
Lu Vieh Nonbeeri, Maruusha
lu Viju, Lilbelt
Lualdi, Marta
Luanti, Chi
Lubbock, Henktacker
Lubie, Mariel
Lubie, Leonard
Luc, Ky
Luc Duvall, Jean
Lucas, Henri
Lucas, Carl
Lucchini, Francesca
Lucchini, Emiliana
Lucci, Claude
Lucciora, Cullen
Luce, Capri
Lucent, Tiera
Lucent, Mikhail
Lucheron, Kira
Luchile, Kiri
Luchile, Mink
Luchile, Urates
Luciano, Nicola
Lucid, Marlene von
Luciela, Haruka
Lucifer, Sirzechs
Lucifer, Rei
Lucifer, Vali
Luciffis, Mattie
Luciffis, Rudius
Lucifuge, Grayfia
Lucilfer, Chrollo
Lucille, Juliana
Lucio, Antonio
Lucis Caelum, Noctis
Lucis Caelum, Regis
Luckberry, Reyfer
Luckens, Savaris
Luckens, Gorneo
Luckfield, Brooklyn
Luckino, Tony
Luckmolde, Ran
Lucky, Roo
Lucra, Milani
Lucullus, Celestine
Lucy, Chicken
Lucy, Vivian
Ludenberg, Celestia
Ludowell, Krut
Lueder, Charlotte
Luferr, Lucia
Luft, Drake
Luft, Riml
Luftair, Randall
Lugiano, Lorenzo
Lugis, Hisame
Lugner, Xerx
Lugnica, Fourier
Lui, Helga
Lui 13-sei, Pour
Luin, Nigun Grid
Luio, Stephanie
Luio, Michele
Luio, Woomin
Luirasael, Amaluna
Luis, Leon
Luis, German
Luis, Anna
Luis, Roberto
Luis, Frois
Lujun, Gigi
Lukić, Professor
Lulu, Crusch
Lulu Jiadz Nazamsandriga, Zamedol
Lululu, Lulu Lu
Lumiere, Sylvie
Lumiere, Alexia
Lumiere, Eliana
Lumiere, Luna
Luminesk, Irina
Luminous, Nova
Lumpkins, Fuzzy
Lunacanta, Mio
Lunacanta, Reki
Lunard Sforza de Roselait, Vetti
Lunasea, Heine
Lunatique, Tearju
Lundberg, Lasse
Lunddgren, Jessica
Lundgren, Joshua
Lundgren, Ray
Lune, Wassan
Lunettes, Reim
Lunettes, Klaus
Lungberg, Veigue
Lunge, Heinrich
Lunge, Kilik
Lunland, Dick
Luo, Fred
Luo, Kai
Luo, Tianyi
Luo, Yun
Luo, Ji
Luo, Xiaohei
Luo, Xiaobai
Luo, Zheng
Luo, Bu
Luo, Binghe
Luo, Li
Luo, Wenzhou
Luo, Qingyang
Luo Jun, Chen
Luo-yang, Carpaccio
Luodur, Garista
Lupin, Arsène
Lupin, Arsène
Lupin III, Arsene
Lupo, Motomo
Lupus, Lou
Lurker, R. R.
Lusence, Kass
Luster, Volt
Lustra, Zanis
Lute, Ryner
Lutgalnikov
Luther King, Jr., Martin
Lutus, Elise
Lutz, Alvin
Lutz, Klaris
Lutz, Cornelius
Luukkanen, Eini Antia
Luvence, Liese
Luvence, Tita
Luxor, Jebil
Luxter, Yrian
Luzel, Rashia
Luzen, Bao
Luzen, Galtz
Luzu Kimlasca Lanvaldear, Natalia
Lv, Jianwen
lvey, Zoe
Lyan, Barts
Lye
Lyell, Ernest
Lyia, Haia Salinvan
Lyle, Karina
Lyman, Flora
Lynch, Elza
Lynch, Arthur
Lynde, Rachel
Lynn, Minmay
Lynn, Kaifun
Lynn, Feichun
Lynn, Paochun
Lynn, Shaochin
Lynn, Shigeyo
Lynn, Belle
Lynx, Ashley
Lynx, Retsu
Lynx, Lady
Lynx, Jao
Lynx , Mirapolos
Lynx, Sonny
Lyon, Al
Lyra, Orphee
Lyra, Orpheus
Lytis, Crow
Lyu, Kyuo
Lyubov, Acel
Lyumnades, Kaza
Lyyneheym, Sylvia

